latitude,longitude,hour,PM2.5_Pred,PM10_Pred
18.238952640603102,81.05965196929553,1,84.62762860567116,81.56056861674023
12.789030689583628,79.29753783430402,2,89.94094855081228,113.00076634856197
21.527154253924753,79.15249773780377,3,122.14190138119136,70.48519837991333
21.343697887659744,76.07814210229644,4,94.07774081191815,81.44406767405816
24.075290016113705,78.76441462838385,5,87.42651681092974,127.43025785176299
22.054205925958954,80.82089147096032,6,108.95210800329654,144.73908044280455
20.596281919123122,84.83854077251111,7,89.59560935345397,124.20878335654909
27.991379722607086,82.70469574481717,8,110.11223456658655,88.08529328544864
20.175751405541043,77.49796513253052,9,169.03784366161204,224.07073968390884
23.979700412105558,82.28358388456012,10,56.827098190578084,233.3584714992739
14.967460329014262,79.38786007800755,1,61.89401696552804,202.47463490321456
13.667507324826959,77.58239528479868,2,64.07529925080763,137.50326516366457
13.882929433534226,77.44830279771612,3,55.30654417163095,153.8408740101425
18.97754977034339,84.35901990039406,4,73.70744805092967,75.14094331217873
21.772243743321006,79.98760644615308,5,143.21396981729174,137.14660862318414
21.34862485073942,80.47933040006518,6,98.49495186273697,138.94595707261703
19.43124414368856,78.51390221625596,7,92.1102883568453,147.39338081225333
21.559255676290416,80.70912963179514,8,108.02988306247266,228.24237579973388
18.054929296306767,75.76140152425641,9,125.94847834607829,209.52334861520112
21.647245080798477,75.30283936192046,10,87.97291349313448,81.56818897028786
24.302073744887267,80.46931893949588,1,99.12786926011783,116.10114015645428
24.753721426957906,83.10926546035986,2,116.01351124586262,180.24792133346574
19.79722492697826,80.04012052838718,3,47.56024956830813,166.52703244260186
20.176805399547757,83.14416871249192,4,82.17728803923727,245.41286968017693
25.171039487652845,84.74273263254511,5,126.99968110526258,64.7201137518979
15.693501975933177,82.51908291005645,6,145.09419227612204,66.33732386665798
26.48553369532079,84.41858089516806,7,153.89377852481095,65.51238087726838
24.03823230233159,83.52026220842976,8,124.94997110659779,234.21303686463983
27.754969771343923,76.22157285903687,9,130.56983075888482,177.16407356461593
16.711792875497462,83.59100311792275,10,42.96027851791703,79.6430019590508
12.678344697312868,80.60863878345369,1,103.47941772916016,84.58905072309962
15.128988355363074,76.47844228884507,2,67.00128200976579,117.84391288869185
24.266184569996593,81.81658337332097,3,92.15329370105748,235.65042800529835
16.681683980216977,83.87564163259188,4,81.15725258932306,111.26057813534264
16.109305833948447,79.56616764052758,5,45.26552890494839,87.28940746108684
26.736306999999275,84.87342280687992,6,168.43265257164882,113.3984984856236
22.5673391935199,81.8196363090303,7,54.172804974329125,89.28942335068264
26.790984413425946,80.78638913713439,8,72.29617959818594,225.72763127545085
21.187485234427307,77.26516023147124,9,163.76040892993814,215.62484337189423
13.142087335242165,77.95532332097547,10,123.4585092919729,133.05317016734156
22.592795375731114,79.40760551404298,1,137.10553531705102,123.34343968807491
27.215376051614022,77.73702473823592,2,105.48089450172162,220.89613798061936
23.901532075644962,81.50257553231644,3,158.76231650502518,244.88658551505378
17.358680417064313,81.30981403319136,4,124.51784334912233,60.08223747663471
20.989902618633593,84.73356326832481,5,107.64008830737357,237.31584133472398
22.20178492548857,79.08241365365677,6,170.97253640681583,120.36765198814183
25.640622454178978,77.96841986278335,7,160.29803779568664,168.24951276855916
13.802538787495505,76.48673450315947,8,121.79527446290788,152.07753228055597
22.697383966546234,79.3972319977777,9,162.79954001207744,181.97466986932224
20.28179181962259,81.90990970084147,10,79.72060860260142,91.48664577864368
19.948606478523764,75.26630125570698,1,80.56061444267594,124.0454601695135
27.60503228257287,78.22258572315548,2,129.24088156070573,178.39661831548784
